Year,UserType,UserCount,Sales($M)
2008,FacebookUsers(in Millions),100,280
2008,InternetUsers(in Millions),1575,
2009,FacebookUsers(in Millions),360,775
2009,InternetUsers(in Millions),1766,
2010,FacebookUsers(in Millions),608,2000
2010,InternetUsers(in Millions),2023,
2011,FacebookUsers(in Millions),845,3711
2011,InternetUsers(in Millions),2231,
2012,FacebookUsers(in Millions),1056,5089
2012,InternetUsers(in Millions),2494,
2013,FacebookUsers(in Millions),1228,7872
2013,InternetUsers(in Millions),2728,
2014,FacebookUsers(in Millions),1393,12466
2014,InternetUsers(in Millions),2956,
2015,FacebookUsers(in Millions),1591,17928
2015,InternetUsers(in Millions),3185,
2016,FacebookUsers(in Millions),1860,26885
2016,InternetUsers(in Millions),3424,
